,Predictions
0,34524.548679852276
1,85930.9054260501
2,67573.47725195019
3,89237.48501014235
4,21502.256588701945
5,14830.542087846887
9,36888.21047931016
10,81046.93064582004
11,33202.97057793671
13,90604.43508831938
14,27442.51180673478
15,644.2570942450111
16,13962.513970219225
17,21152.680563747243
18,36603.2351451875
19,28124.446075562766
20,39273.977502064576
21,9059.670024487627
22,30502.08617606957
23,52671.793848371104
24,72832.19084479922
25,47152.33841509849
26,33145.20423109335
27,35756.80203072922
28,5400.895876019029
29,1783.8494757517765
31,32687.79124280429
32,73693.77335813743
33,16167.201074994926
34,77257.32882750596
35,44227.1156118708
36,9303.951124799074
37,6432.968280359113
38,34005.88708309867
39,67783.5426764233
40,17527.152128361602
41,14299.718198862029
43,23621.934279104054
44,25537.226120188163
45,100767.04127104694
46,2900.3204460504785
47,48524.455716036115
48,51226.46327525462
49,110432.38859850261
50,5643.57904291914
51,28959.342426542396
52,79660.34803014537
54,59631.79666309399
55,66549.15596782611
56,78738.59827701113
57,69511.8479375203
58,80547.05264590879
59,102114.1150657135
60,70779.97477334578
61,22659.088438123086
62,18263.49974637438
63,81477.53366503408
64,19018.985054470715
65,24609.61335150886
66,25308.7889783305
67,66123.94209771347
68,71741.93631526598
69,6534.695195394685
70,121916.80584745685
72,11371.837010680349
73,2020.6191046152526
74,15034.291594684924
75,76213.31795031103
76,30247.263170263934
77,26777.524674196
78,63964.58430633429
80,68103.85047321566
81,49909.53938453854
82,84312.89644855328
83,35262.94113434138
86,97239.00401602098
87,81661.32518834362
88,26444.38754145408
89,17439.510775654693
90,29650.07869908365
91,60950.166832264105
92,74870.71132892996
93,11094.853282308904
94,79252.43868270639
95,10728.772202283319
96,66235.13044820909
97,3711.384122080999
99,31462.067134272133
100,30374.93798554284
101,19539.195472885098
102,35340.29333686133
103,19578.94669777807
104,28035.49146674745
105,25725.995667552634
106,57758.81760764896
108,9180.448879490286
109,5361.406938919128
110,44689.13069818204
111,29839.477221084322
112,17532.451374533004
113,20431.354993484827
114,13697.643772375013
115,47180.315697028855
116,76958.96425562428
117,27892.708027664543
118,50654.98735954144
119,84699.4491595426
120,3398.8460907109547
121,95872.93280012932
122,49652.267813039856
123,65879.41780676594
125,11005.789396038352
126,39840.8167319159
127,29823.217529387126
128,47468.65573155024
129,13295.263901561673
130,10619.258809065534
131,66212.2697037957
133,163535.78569027185
134,52989.99573420535
135,68271.5200661429
137,10053.536182519267
138,26963.894587300078
139,102035.2814444715
140,41537.123977737356
141,27454.60243686239
142,43121.8245277176
143,71689.7317936956
144,57833.026971633895
145,31389.29819723658
146,92107.71810646643
147,12966.953070019124
148,38911.890112177876
149,29332.237320581597
150,95095.86293902737
151,78911.47929142398
152,19453.54620761302
153,4159.443918245233
154,62565.612716348376
155,39227.112091296585
156,48248.95901281922
157,118174.46443414042
158,76373.9256523264
159,55361.536057198246
160,52296.537440326036
162,42660.29098771038
163,42488.86842043459
164,39175.843732631416
165,36493.74586448172
167,53102.08582439288
168,93510.24220466247
169,8500.832749626948
170,52208.98243929134
171,96573.20754976332
172,25526.89848472865
173,45986.548714102304
174,4488.300085525072
175,24737.701919188927
176,40417.17252069092
177,27105.11000015019
178,73806.15264889743
179,20236.01346449615
181,122054.69070039
183,12143.986268015637
184,29101.996001878753
185,18284.80890014491
186,21884.310562190658
187,35416.613553887844
188,98288.08049154657
189,80930.32721950603
190,31750.395528970286
191,71259.84780608965
192,61189.129720581346
193,40349.8499813207
194,10284.798764341787
195,25946.345276790962
196,113426.01846918953
198,15636.315334054903
199,59828.00553383058
200,85371.66824989763
201,59362.61308547805
202,22989.41886538989
203,60998.61069954955
204,23483.20604335892
205,53682.780300851766
206,26522.397814146505
207,21044.99157080392
208,28278.02241068217
209,61317.542446350126
210,27423.546725698136
212,48630.341923503205
213,52140.857454726414
215,72765.01359718665
216,12483.470132133793
217,36070.363499204046
218,156845.00357440187
220,69235.28374200052
221,25933.039222902968
222,89758.75708120377
223,28455.451639244508
224,79413.19072066448
225,107351.76474225713
226,77011.17427633263
227,38777.81832494799
228,13281.279563878867
229,32657.698544547166
230,56434.98842503218
232,85185.24379363889
233,84070.24921851527
234,77206.8193130715
236,56918.89803203498
237,24919.289109445905
238,51100.59270980855
239,10624.07699146289
240,10348.561220360745
241,56474.06869358785
243,64241.6532135437
244,103447.76903534634
245,89730.8790516574
246,20922.192500576115
247,22341.912479202176
248,37418.383072359546
249,4920.22465612345
250,27617.800780054997
251,8685.350273424294
252,80913.20761921906
253,13297.594251866118
254,49529.2260564841
255,18095.5399394524
257,17934.006419712998
258,11414.905078094438
259,46889.17264490196
260,7175.383044745584
262,119234.95755746614
263,18764.482114805054
264,19730.308331779466
265,50316.04354911603
266,4902.625495715896
267,50120.23839531778
268,43796.320214008796
269,9059.732356339839
270,30957.446193209325
271,65222.62164139049
272,18901.820367741835
273,12550.364565947544
274,32602.2873703964
275,3072.9287608949235
276,42022.055153489375
277,22594.596236603655
278,75172.0746491201
279,47225.67112484397
280,88205.58666144658
281,93603.34373414298
282,1315.355096209547
283,30498.485495265835
284,70284.33630822183
285,41123.76114423058
286,38073.41412139221
287,67586.95980232095
288,57452.268820792844
289,26075.889771484974
290,41810.914875092654
291,54682.05946130215
292,34596.46150353397
293,21323.945582075714
294,86966.91254141534
295,27018.940853987413
297,35221.271210974664
298,59696.86101029496
299,76228.63244991127
300,19302.34277516033
301,23777.96715926894
302,2428.5049982047494
303,8162.248044751454
304,52892.72330731258
305,129711.00597288413
306,11787.84918731355
307,95752.73613788691
308,85099.2814344773
309,154295.54617879944
310,42659.796186245425
311,12056.299198715264
312,18726.491235985857
313,77131.8998848657
314,19809.312605085986
315,73614.74336701562
316,40938.95269353053
317,31568.14782523288
318,21958.03091213302
320,14912.002630017902
321,91753.59906335533
322,18347.935740320885
323,46899.05852231578
324,46831.09095819638
325,66691.36004984347
326,46972.345195701055
327,92666.77150199105
328,25082.728702781227
329,16308.169365251757
330,22778.705594192754
331,60031.9261136174
332,34230.159854925325
333,71884.21997633445
334,17761.108150322398
335,106427.86159779073
337,12503.322081450518
338,68449.46447691828
339,33732.91565012216
340,135120.6397493673
341,16474.74158564271
342,7492.458356583869
343,38091.20452526549
344,69176.70442002019
345,50066.992103725206
346,1429.299307727575
347,55274.87564671828
348,48191.858368712245
349,26043.450660377013
350,57760.42616307447
351,64293.4176623706
353,161354.73315916208
354,15613.298292300853
355,106858.54120542211
356,75471.1985591104
357,90218.30612980793
358,24073.23779757868
359,41935.762882144045
360,27060.059889560885
361,43823.908722188586
362,60387.64977024065
363,69151.7514474493
364,26785.022160101653
365,94573.1757944152
366,86749.35041811748
367,24757.123375489347
368,78948.19669416148
369,14840.00280337187
370,10779.609635401328
371,54523.023436804826
372,54178.42990747563
373,61313.36269532092
374,13073.338930846861
375,31161.943541786517
376,16461.978706187394
377,161451.64579781992
378,6994.584738557634
379,38.372106399256154
380,18964.49838344881
381,41789.92539269492
383,32903.737964896834
384,48504.923856201756
385,44559.17152805574
386,58556.5790905749
387,37189.15669248282
389,21476.84750504259
391,67709.24959718794
392,10513.207568009777
393,47882.02934984979
394,39119.332583463256
396,23510.984400235728
397,57146.74646441659
398,23709.791121388465
399,66008.42525445373
400,30454.783250535722
401,138208.5908186051
403,11822.113430941594
404,9265.296600954971
405,189846.30233784663
406,34734.4094149234
407,2248.325739642518
408,134900.57831687847
409,68734.68892451873
410,113548.00112908537
411,11671.759226931492
412,18878.72733674117
413,48833.94022640021
414,25949.938602615934
415,47383.6714137863
417,19673.74117746268
418,29460.330213527515
419,81260.11858584953
420,85125.6764197599
421,44523.78458167749
422,43149.35909459251
423,33690.181483463384
424,43482.51781573435
425,6433.773003297305
426,18754.939770683413
427,56533.41805460636
428,51989.313591534505
429,57877.298175574746
430,35005.34719499218
431,20034.06521568171
432,141862.62369112205
433,28755.051903756626
434,41048.724591557664
435,19508.804352553125
436,9786.221886607018
437,58053.63034709092
438,10018.566935336334
439,18730.150527224556
440,21302.72633256408
441,94719.50170328032
442,58561.88002540948
443,43687.14578630423
444,21319.14798166565
445,18572.15058548961
446,91591.55163353233
447,130597.71677983046
448,53430.81079258805
449,28318.848914235336
450,37949.64131558384
451,23075.623212216247
452,21509.234796559933
453,117224.13059576825
454,13187.41460502366
455,68511.64347575206
456,45283.605337991234
457,5846.942583187309
458,90695.70557694283
459,35467.26114154069
460,32866.68897554974
461,12511.9881122761
462,38449.98739490815
463,26864.1218472225
464,116336.83366482225
466,49290.64632807599
467,74134.05703872297
468,20286.883583923947
469,53193.65579528679
470,28839.7348302404
472,43148.04460082302
473,103898.67389126783
474,37420.57705714987
475,27563.641312513646
476,5945.334517766038
477,18224.677025717247
478,78832.4649217921
479,25478.78638825522
480,34882.94698352978
481,33490.18654664865
482,32181.724558838934
483,5490.905511901379
484,28994.308156204846
485,66332.63209019112
486,53368.42086286124
487,27646.308414109837
488,82654.72383629461
489,37946.51154723315
490,25647.182630446245
491,65866.45736027687
492,195203.7199363646
493,91372.13967720754
494,25151.39420716281
495,20114.68224358064
496,84764.82445678432
497,26232.87656241044
498,76451.07235523063
499,13288.559565942327
500,28400.578008818935
502,20547.82909327335
503,121050.52970669349
504,79926.21037765715
505,58565.187342909165
506,53738.29696558928
507,48869.94840561703
508,3296.2342051877495
510,27776.545106577367
511,639.0511135554989
512,145341.78679317722
513,13995.316711867155
514,35698.34411590014
515,67511.18108355254
516,20220.270635937282
517,14254.979976604227
518,20760.96156317796
519,88171.39953281824
520,101846.280481894
521,8695.103928461278
522,4813.912354921733
523,79488.4868477849
524,67143.25301381163
525,62681.40451651116
526,64420.84722351286
527,56000.180969808804
528,12120.755866030173
529,13841.134247290538
530,4195.446668668665
531,63837.689340645564
532,18168.796640581684
533,59228.94926712566
534,10595.274418279354
535,28250.9065149175
536,100221.06877383558
537,83853.2316428117
538,162080.47347871694
539,20404.18693438638
540,13855.61936029968
541,17337.494937264943
542,212049.77338249804
543,64584.47534169408
544,6893.723464190523
545,27858.696099861554
546,58715.99029895826
547,3366.877528363111
548,33818.855690892
549,65529.40343526052
550,2421.3201782727992
551,88649.82269109468
552,16048.304888402505
553,85532.65102558889
554,86446.27986124443
555,15272.323674809639
556,1364.198333594104
557,54932.264465995744
558,16968.461752499425
559,91674.75303454368
560,23182.84091188028
561,41481.04563460054
562,59354.2224531752
563,146855.64695437407
564,64366.67424375779
565,68932.21463425696
566,12507.77218406777
568,135249.28043744573
569,19122.29989766376
570,7616.172365328952
571,20915.984183762135
572,71166.10984899636
573,73905.3804751588
574,56430.20082453138
576,34670.75095175186
577,85187.82395434898
578,32023.189621471916
579,37238.91164600098
580,70028.92488654848
581,41418.250290556025
582,50116.23559389147
583,16380.771779399161
584,8370.794946518581
585,12764.735715927032
586,24210.850004759035
587,85122.43443983368
588,24505.514879350347
589,37912.10777260244
590,8988.934876593848
592,31575.734456562583
593,19705.621020656778
594,58484.07200762103
595,78657.76569160601
596,42577.17552469671
597,47660.715068378166
598,25624.902929003176
599,33522.42292207369
600,14838.336324332413
602,16313.48469248871
603,30817.805558722
604,7456.954510666343
605,6485.041131430175
606,25965.28043084219
607,12989.24315012079
608,5569.876498073747
609,41222.07361445911
610,69339.93286397206
611,28619.97326038932
612,62000.92266529496
613,27193.21179175697
614,16741.406065357936
616,32973.26693928157
619,97988.31904162408
620,11727.908550258886
621,34495.3516942983
622,30773.987665610708
623,82637.95556212246
624,30624.407209273428
625,8749.17975116997
626,35550.57716507168
627,63908.57574391866
629,13113.239369906616
630,38183.90398599519
631,23666.451612658275
632,57303.71478870357
633,20180.969391214254
634,53476.77210482626
635,10657.509278838814
636,6851.562891182039
637,26679.72419924024
638,122651.55215362436
639,19243.398189131287
640,22803.082629298122
641,30763.718711511174
642,10351.093808856516
643,9376.276487379291
644,33717.64333849744
645,36130.01843712796
646,27117.912128182827
648,65546.06281722311
649,32283.060086911864
650,101471.69621698503
651,53777.45509323466
652,24981.732657506334
653,12335.954756518622
654,28332.907242269634
655,66278.22021229539
656,97974.39248890511
657,60758.2934751579
658,60495.10506759124
659,11069.653148793674
660,16010.46301027933
661,11774.04137844409
662,34944.542220408825
663,91849.26285174472
664,44607.62059460717
665,53522.44867296866
666,71615.91196196087
667,85410.23655260148
668,35533.050647870026
669,2400.521883064299
670,51692.90296585488
671,51566.980649803125
672,11128.086754278673
673,14031.316462171933
674,15935.967547907276
675,61598.419895699015
676,68978.52697832594
